name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Osmanabad,2000-10-01,91.5,79.4,85.8,92.9,79.4,88.2,68.5,59.4,0,0,0,,,,,2.2,91.6,1006.9,38,5.5,,,,,2000-10-01T06:16:12,2000-10-01T18:14:28,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43117099999
Osmanabad,2000-10-02,90.2,78.2,84.1,89,78.2,83.7,61.5,49.6,0,0,0,,,,,2.2,93.3,1007.6,33.3,5,,,,,2000-10-02T06:16:24,2000-10-02T18:13:38,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43117099999
Osmanabad,2000-10-03,89.9,77.1,83.8,94.3,77.1,85.4,66.4,57.9,0,0,0,,,,,2.2,131,1007.5,51.3,4.4,,,,,2000-10-03T06:16:35,2000-10-03T18:12:49,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43117099999
Osmanabad,2000-10-04,90.8,75.8,83.5,92.4,75.8,85.4,69.1,64.4,0,0,0,,,,,2.2,81.4,1007,51.3,4.4,,,,,2000-10-04T06:16:47,2000-10-04T18:12:00,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43117099999
Osmanabad,2000-10-05,92,77.6,84.8,94.3,77.6,87.4,70.1,64.3,0.107,100,8.33,rain,,,,4.7,119.4,1007.3,55.7,4.6,,,,,2000-10-05T06:16:59,2000-10-05T18:11:11,0.25,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,43117099999
Osmanabad,2000-10-06,86.6,79.1,81.7,92.5,79.1,85.7,75,81.1,0.158,100,8.33,rain,,,,2.2,248,1009,44,4,,,,,2000-10-06T06:17:12,2000-10-06T18:10:23,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,43117099999
Osmanabad,2000-10-07,87.9,74,80.6,94.5,74,82.8,72.7,78.5,0.078,100,8.33,rain,,,,0,,1009.2,73.3,3.7,,,,,2000-10-07T06:17:25,2000-10-07T18:09:35,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,43117099999
Osmanabad,2000-10-08,91.5,77.1,82.8,94.6,77.1,85.1,71.9,71.8,0.117,100,12.5,rain,,,,2.2,286.2,1007.5,52.5,4.4,,,,,2000-10-08T06:17:38,2000-10-08T18:08:48,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,43117099999
Osmanabad,2000-10-09,83.6,72.2,77,86.8,72.2,78.1,70.5,81.1,0.163,100,25,rain,,,,2.2,350,1007,94.3,4.1,,,,,2000-10-09T06:17:52,2000-10-09T18:08:01,0.37,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,43117099999
Osmanabad,2000-10-10,87.2,72.2,79.7,91.5,72.2,82.5,70.5,74.7,0.14,100,20.83,rain,,,,2.2,54.6,1007.8,75,3.7,,,,,2000-10-10T06:18:05,2000-10-10T18:07:15,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,43117099999
Osmanabad,2000-10-11,91.5,75.3,82.6,97.4,75.3,85.5,70.5,69.3,0.084,100,12.5,rain,,,,2.2,16.2,1008.2,71.3,4.4,,,,,2000-10-11T06:18:20,2000-10-11T18:06:29,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,43117099999
Osmanabad,2000-10-12,86.6,75.3,78.7,94.6,75.3,80.2,71.4,79.5,0.48,100,8.33,rain,,,,3.4,360,1009.4,65.7,4.1,,,,,2000-10-12T06:18:35,2000-10-12T18:05:44,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,43117099999
Osmanabad,2000-10-13,88.1,74,78.1,91.6,74,79.2,71.1,80.4,0.776,100,20.83,rain,,,,3.4,313,1008.2,85,4.4,,,,,2000-10-13T06:18:50,2000-10-13T18:05:00,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,43117099999
Osmanabad,2000-10-14,90.2,73.5,78.8,94,73.5,80.4,71.8,81.4,0.173,100,20.83,rain,,,,2.2,339.1,1007.6,74.3,4.6,,,,,2000-10-14T06:19:05,2000-10-14T18:04:16,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,43117099999
Osmanabad,2000-10-15,91.5,75.3,83.3,94.1,75.3,84.2,66.1,59.8,0.078,100,8.33,rain,,,,2.2,17.1,1007.9,57.1,4.6,,,,,2000-10-15T06:19:21,2000-10-15T18:03:32,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,43117099999
Osmanabad,2000-10-16,89.7,74,79.8,87.1,74,79,61.1,59.6,0,0,0,,,,,2.2,357.8,1008.1,67.1,4.1,,,,,2000-10-16T06:19:38,2000-10-16T18:02:50,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43117099999
Osmanabad,2000-10-17,89.7,69.2,79.4,86.3,69.2,78.2,54.3,47.8,0,0,0,,,,,3.4,40.6,1007,67.1,4.6,,,,,2000-10-17T06:19:55,2000-10-17T18:02:08,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43117099999
Osmanabad,2000-10-18,89.7,69.5,80.9,92.6,69.5,83.3,66,62,0,0,0,,,,,2.2,2.8,1005.7,70,4.4,,,,,2000-10-18T06:20:12,2000-10-18T18:01:27,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43117099999
Osmanabad,2000-10-19,88.4,78.2,82.1,99,78.2,86.8,74.6,78.7,0.09,100,20.83,rain,,,,3.4,19.9,1006.3,77.1,4.1,,,,,2000-10-19T06:20:30,2000-10-19T18:00:47,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,43117099999
Osmanabad,2000-10-20,91.5,74.9,81.6,99.9,74.9,84.5,74.3,80.9,0.777,100,16.67,rain,,,,2.2,178.5,1008.7,83.3,4.4,,,,,2000-10-20T06:20:49,2000-10-20T18:00:07,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,43117099999
Osmanabad,2000-10-21,89,74,80.9,94.3,74,84.1,73.2,79.6,3.582,100,12.5,rain,,,,3.4,28.1,1008.7,51.3,4.4,,,,,2000-10-21T06:21:08,2000-10-21T17:59:28,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,43117099999
Osmanabad,2000-10-22,93.3,75.5,83.6,92.6,75.5,83.8,64.2,59.1,0,0,0,,,,,2.2,121.3,1007.6,23.3,5,,,,,2000-10-22T06:21:27,2000-10-22T17:58:50,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43117099999
Osmanabad,2000-10-23,92,75.3,83.6,95.2,75.3,84.1,63.6,55.3,0,0,0,,,,,3.4,270.5,1007.3,17.1,4.1,,,,,2000-10-23T06:21:47,2000-10-23T17:58:13,0.85,Clear,Clear conditions throughout the day.,clear-day,43117099999
Osmanabad,2000-10-24,93.8,76.4,84.1,92.3,76.4,84.6,65.5,57.7,0,0,0,,,,,2.2,50,1008.9,20,4.6,,,,,2000-10-24T06:22:08,2000-10-24T17:57:37,0.89,Clear,Partly cloudy throughout the day.,clear-day,43117099999
Osmanabad,2000-10-25,92.6,74,82.8,94.1,74,83.7,67.2,62.2,0,0,0,,,,,2.2,16.2,1009.7,28.8,4.4,,,,,2000-10-25T06:22:29,2000-10-25T17:57:01,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43117099999
Osmanabad,2000-10-26,93.3,74.6,83.6,90.6,74.6,82.6,58.4,47.3,0,0,0,,,,,3.4,41.6,1008.7,21.4,4.6,,,,,2000-10-26T06:22:50,2000-10-26T17:56:27,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43117099999
Osmanabad,2000-10-27,92.6,71.7,81.2,91.2,71.7,80.8,58.6,48.7,0,0,0,,,,,2.2,107.8,1008.8,26.3,3.9,,,,,2000-10-27T06:23:12,2000-10-27T17:55:54,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43117099999
Osmanabad,2000-10-28,92,72.2,82.5,88.3,72.2,81,53.6,41.6,0,0,0,,,,,3.4,3.5,1009.9,33.3,5,,,,,2000-10-28T06:23:35,2000-10-28T17:55:21,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43117099999
Osmanabad,2000-10-29,92,66.5,78.1,88.3,66.5,76.9,53.3,48,0,0,0,,,,,2.2,12.2,1010.8,20,4.8,,,,,2000-10-29T06:23:58,2000-10-29T17:54:50,0.06,Clear,Partly cloudy throughout the day.,clear-day,43117099999
Osmanabad,2000-10-30,89.7,66.5,78.5,89.1,66.5,78.2,59.8,55.4,0,0,0,,,,,3.4,89,1010.3,23.8,4.4,,,,,2000-10-30T06:24:22,2000-10-30T17:54:19,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43117099999
Osmanabad,2000-10-31,91.1,72.2,81.7,91.7,72.2,81.8,62.9,55.5,0,0,0,,,,,2.2,100.7,1008.8,32.9,4.1,,,,,2000-10-31T06:24:47,2000-10-31T17:53:50,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43117099999
