name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
west bengal,2014-06-01,87.8,73.4,82.6,102.4,73.4,90.6,75.9,80.9,0,0,0,,,,,6.8,151.7,1003.6,57.9,1.6,231.3,20,8,,2014-06-01T04:51:40,2014-06-01T18:17:06,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-06-02,95,82.4,85.5,112.8,90.9,98.3,78.9,81.3,0,0,0,,,,,8.1,185.6,1003.7,56.9,1.9,137.6,11.6,4,,2014-06-02T04:51:33,2014-06-02T18:17:31,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-06-03,91.4,80.6,86.1,118,87.1,101.5,80.2,83,0,0,0,,,,,10.2,166.8,1002,67.8,1.7,183.6,15.9,6,,2014-06-03T04:51:27,2014-06-03T18:17:56,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-06-04,96.8,84.2,89.6,116.1,98.2,106.4,79.9,74.4,0,0,0,,,,,13,184.1,1001,49.4,2.1,149.6,13.1,5,,2014-06-04T04:51:23,2014-06-04T18:18:20,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999,remote"
west bengal,2014-06-05,96.8,84.2,89.3,115.3,98.3,105.3,79.5,73.9,0,0,0,,,,,15,180.2,999.9,34.2,2.1,202.6,17.6,7,,2014-06-05T04:51:19,2014-06-05T18:18:44,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-06-06,98.6,84.2,89.8,121,98.3,106.6,79.9,74,0,0,0,,,,,17.2,176.1,998.7,40.6,2.1,156.2,13.5,5,,2014-06-06T04:51:17,2014-06-06T18:19:07,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-06-07,96.8,84.2,89.7,118.6,94.2,106.5,79.8,73.5,0,0,0,,,,,18.3,174,997.8,45.3,2.1,201.4,17.4,6,,2014-06-07T04:51:15,2014-06-07T18:19:30,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-06-08,95,82.4,89,116.1,88.3,105.9,79.9,75.2,0,0,0,,,,,18.3,171.2,997,50,2.2,148.7,12.7,5,,2014-06-08T04:51:15,2014-06-08T18:19:52,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VECC,42809099999"
west bengal,2014-06-09,96.8,84.2,90,122.3,98.3,109.2,81.1,75.8,0,0,0,,,,,17.2,171.7,997.1,63.7,2.1,121.1,10.4,4,,2014-06-09T04:51:16,2014-06-09T18:20:14,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VECC,42809099999"
west bengal,2014-06-10,98.6,84.2,90.4,121.1,98.3,110.2,81.3,75.5,0,0,0,,,,,13.9,174.3,997.5,45.3,1.9,128,11,4,,2014-06-10T04:51:18,2014-06-10T18:20:36,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
