name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Karnataka,2005-06-01,84.3,69.9,76.7,88.6,69.9,77.7,68.6,77.4,0,0,0,,,,,11.4,283.3,1010.1,67.8,4.5,,,,,2005-06-01T05:52:21,2005-06-01T18:42:39,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43302599999,43295099999"
Karnataka,2005-06-02,86.1,71.3,77.9,88.5,71.3,78.9,67.4,71.7,0.354,100,8.33,rain,,,,17.2,276.1,1010.2,65,4.7,,,,,2005-06-02T05:52:22,2005-06-02T18:42:57,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43302599999,43295099999"
Karnataka,2005-06-03,87.5,71.7,79.9,92.5,71.7,82.1,69,71.3,0,0,0,,,,,13.9,272,1009.5,77.9,4.3,,,,,2005-06-03T05:52:23,2005-06-03T18:43:15,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43302599999,43295099999"
Karnataka,2005-06-04,89.7,71,80.7,93.7,71,82.3,67.8,67.5,0.236,100,4.17,rain,,,,9.2,286.8,1008.8,68.4,4.7,,,,,2005-06-04T05:52:25,2005-06-04T18:43:32,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43302599999,43295099999"
Karnataka,2005-06-05,89.7,66.3,75.5,93.5,66.3,76.2,66,74.4,0.48,100,8.33,rain,,,,11.4,284.6,1009.5,87,4,,,,,2005-06-05T05:52:28,2005-06-05T18:43:50,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43302599999,43295099999"
Karnataka,2005-06-06,84.3,69.9,77.2,88.1,69.9,78.2,67.7,73.5,0,0,0,,,,,10.3,270.8,1010.1,69.1,4.7,,,,,2005-06-06T05:52:32,2005-06-06T18:44:08,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43302599999,43295099999"
Karnataka,2005-06-07,86.1,73.1,78.4,90.8,73.1,79.4,69.1,74.1,0,0,0,,,,,9.2,267.4,1010.2,68,4.7,,,,,2005-06-07T05:52:36,2005-06-07T18:44:26,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43302599999,43295099999"
Karnataka,2005-06-08,84.3,71.7,77.2,87.6,71.7,78,68.7,76.3,0.035,100,4.17,rain,,,,9.2,265.6,1008.4,71.4,4.9,,,,,2005-06-08T05:52:41,2005-06-08T18:44:43,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43302599999,43295099999"
Karnataka,2005-06-09,86.1,69.9,76.6,89.6,69.9,77.6,68.8,78,0.158,100,8.33,rain,,,,11.4,273.1,1008.6,88.2,4.7,,,,,2005-06-09T05:52:47,2005-06-09T18:45:00,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43302599999,43295099999"
Karnataka,2005-06-10,82.5,69.9,75.5,86.7,69.9,76.4,68.2,79.4,0.315,100,4.17,rain,,,,11.4,272.4,1009.8,87.5,4.6,,,,,2005-06-10T05:52:53,2005-06-10T18:45:17,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43302599999,43295099999"
Karnataka,2005-06-11,84.5,69.9,77.4,87.6,69.9,78.3,67.2,72.4,0,0,0,,,,,18.3,271.4,1010.6,73.6,4.9,,,,,2005-06-11T05:53:00,2005-06-11T18:45:34,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43302599999,43295099999"
