name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
west bengal,2014-10-01,93.2,77,84.7,105.1,77,92.7,76.3,77.2,0,0,0,,,,,5.8,346.4,1009.6,34.5,1.9,235.9,20.2,8,,2014-10-01T05:27:47,2014-10-01T17:24:28,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-10-02,93.2,80.6,85.1,105.2,87.1,94.6,76.6,77,0.079,100,4.17,rain,,,,7.9,135.3,1009.1,48.4,1.7,231.4,19.8,8,,2014-10-02T05:28:07,2014-10-02T17:23:30,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-10-03,91.4,77,82.3,105.1,77,88.9,76,81.9,1.26,100,4.17,rain,,,,10.3,333.8,1008.2,46.1,1.9,237.1,20.5,8,,2014-10-03T05:28:26,2014-10-03T17:22:33,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41946099999,VECC,42809099999,remote"
west bengal,2014-10-04,91.4,77,83.8,105.1,77,92.3,76.6,80.2,0,0,0,,,,,5.8,343.1,1008.6,41,1.7,220.3,18.9,8,,2014-10-04T05:28:46,2014-10-04T17:21:35,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-10-05,93.2,80.6,86.3,107.8,88.1,98.7,78.6,78.9,0,0,0,,,,,6.9,12.5,1009.8,42.2,1.8,213.9,18.5,7,,2014-10-05T05:29:06,2014-10-05T17:20:39,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-10-06,93.2,78.8,86,105.2,78.8,95.3,76,73.5,0,0,0,,,,,9.2,11.8,1009.5,39.2,2,149.7,12.9,5,,2014-10-06T05:29:27,2014-10-06T17:19:42,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-10-07,93.2,80.5,84.1,107.5,85.2,92.2,75.7,77,0,0,0,,,,,8.1,176.3,1008.5,46.8,1.9,217,18.5,7,,2014-10-07T05:29:48,2014-10-07T17:18:46,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-10-08,93.2,77,85.2,102.9,77,92,75.3,74,0,0,0,,,,,5.8,310.7,1008.3,34.8,2,247.4,21.3,9,,2014-10-08T05:30:09,2014-10-08T17:17:50,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-10-09,95,80.6,87,110,88.1,98.6,77.6,75.1,0,0,0,,,,,6.9,85.5,1007.8,33.6,2,248.4,21.5,9,,2014-10-09T05:30:30,2014-10-09T17:16:55,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-10-10,95,80.6,86.9,105.2,87.1,96.6,75.8,70.9,0,0,0,,,,,8.1,114.6,1006.9,51.1,2.3,240.7,20.9,8,,2014-10-10T05:30:52,2014-10-10T17:16:01,0.56,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"41946099999,VECC,42809099999"
