name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
jaipur,2003-02-01,66.3,51.2,57.9,66.3,51.2,57.9,51.6,81.1,0,0,0,,,,,6.9,352.2,1017.4,35,1.1,,,,,2003-02-01T07:12:40,2003-02-01T18:08:15,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42348099999
jaipur,2003-02-02,64.7,52.1,58.1,64.7,52.1,58.1,50.9,78.9,0,0,0,,,,,6.9,12.4,1021.7,10,1.6,,,,,2003-02-02T07:12:10,2003-02-02T18:09:01,0.03,Clear,Clear conditions throughout the day.,clear-day,42348099999
jaipur,2003-02-03,66.8,51.2,59.1,66.8,51.2,59.1,50.4,74.3,0,0,0,,,,,3.4,4.4,1020.1,1.4,1.7,,,,,2003-02-03T07:11:39,2003-02-03T18:09:47,0.06,Clear,Clear conditions throughout the day.,clear-day,42348099999
jaipur,2003-02-04,68.3,50.1,60.7,68.3,50.1,60.7,50.1,70.1,0,0,0,,,,,5.8,270,1019.1,1.4,1.7,,,,,2003-02-04T07:11:06,2003-02-04T18:10:33,0.09,Clear,Clear conditions throughout the day.,clear-day,42348099999
jaipur,2003-02-05,71.3,50.6,61.6,71.3,50.6,61.6,48.2,63.5,0,0,0,,,,,1.1,200,1018.8,0,1.5,,,,,2003-02-05T07:10:32,2003-02-05T18:11:18,0.12,Clear,Clear conditions throughout the day.,clear-day,42348099999
jaipur,2003-02-06,74.9,53.9,63.5,74.9,53.9,63.5,52.4,69.3,0,0,0,,,,,6.9,145.9,1015.7,0,1.8,,,,,2003-02-06T07:09:57,2003-02-06T18:12:03,0.16,Clear,Clear conditions throughout the day.,clear-day,42348099999
jaipur,2003-02-07,80.3,56.6,67,79.9,56.6,66.9,50.5,58.7,0,0,0,,,,,5.8,72.2,1011.7,3.8,1.9,,,,,2003-02-07T07:09:21,2003-02-07T18:12:47,0.19,Clear,Clear conditions throughout the day.,clear-day,42348099999
jaipur,2003-02-08,77.1,56.6,67,77.1,56.6,67,48.5,54,0,0,0,,,,,6.9,352.2,1011.7,15,2,,,,,2003-02-08T07:08:43,2003-02-08T18:13:32,0.22,Clear,Clear conditions throughout the day.,clear-day,42348099999
jaipur,2003-02-09,74,56,64,74,56,64,43.5,50.7,0,0,0,,,,,5.8,7.3,1013.4,2.5,2,,,,,2003-02-09T07:08:04,2003-02-09T18:14:16,0.25,Clear,Clear conditions throughout the day.,clear-day,42348099999
jaipur,2003-02-10,74.9,47.6,61.2,74.9,47.6,61.2,42.1,52,0,0,0,,,,,5.8,344.9,1014.9,0,2.2,,,,,2003-02-10T07:07:24,2003-02-10T18:14:59,0.28,Clear,Clear conditions throughout the day.,clear-day,42348099999
jaipur,2003-02-11,74,49.4,62.5,74,49.4,62.5,42.8,50.7,0,0,0,,,,,3.4,340,1015.7,3.8,2.2,,,,,2003-02-11T07:06:42,2003-02-11T18:15:42,0.32,Clear,Clear conditions throughout the day.,clear-day,42348099999
jaipur,2003-02-12,72.8,49.4,62.5,72.8,49.4,62.5,45.9,57.1,0,0,0,,,,,2.2,66.6,1016.2,27.8,2.1,,,,,2003-02-12T07:06:00,2003-02-12T18:16:25,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42348099999
jaipur,2003-02-13,75.8,52.1,65.1,75.8,52.1,65.1,47.4,55.5,0,0,0,,,,,3.4,292.7,1014.4,0,1.9,,,,,2003-02-13T07:05:16,2003-02-13T18:17:07,0.38,Clear,Clear conditions throughout the day.,clear-day,42348099999
jaipur,2003-02-14,80.3,53.9,66.5,79.5,53.9,66.4,47.2,53.2,0,0,0,,,,,5.8,298.2,1013.8,28.8,1.9,,,,,2003-02-14T07:04:31,2003-02-14T18:17:49,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42348099999
jaipur,2003-02-15,82.7,56,67.6,80.3,56,67.3,44.6,47.5,0,0,0,,,,,5.8,132.5,1014.6,30,1.9,,,,,2003-02-15T07:03:46,2003-02-15T18:18:30,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42348099999
jaipur,2003-02-16,80.3,65,72.6,79.2,65,72.4,42.9,34.8,0,0,0,,,,,6.9,114,1013.5,84.3,2.3,,,,,2003-02-16T07:02:59,2003-02-16T18:19:11,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42348099999
jaipur,2003-02-17,74.9,66.8,71.3,74.9,66.8,71.3,52.4,51.7,0,0,0,,,,,17.2,170.5,1010.5,94.3,1.7,,,,,2003-02-17T07:02:11,2003-02-17T18:19:52,0.5,Overcast,Cloudy skies throughout the day.,cloudy,42348099999
jaipur,2003-02-18,74.9,60.2,63.7,74.9,60.2,63.7,60.4,91.6,1.062,100,12.5,rain,,,,6.9,121,1008.7,86.7,1.2,,,,,2003-02-18T07:01:22,2003-02-18T18:20:32,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,42348099999
jaipur,2003-02-19,68.1,54.8,61,68.1,54.8,61,49.4,68.8,0.63,100,4.17,rain,,,,11.4,237.9,1009.8,31.3,3.3,,,,,2003-02-19T07:00:32,2003-02-19T18:21:11,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,42348099999
jaipur,2003-02-20,68.6,52.4,60.3,68.6,52.4,60.3,44.7,57.7,0,0,0,,,,,5.8,85.8,1017.9,0,2.6,,,,,2003-02-20T06:59:41,2003-02-20T18:21:51,0.62,Clear,Clear conditions throughout the day.,clear-day,42348099999
jaipur,2003-02-21,71,53.7,62.8,71,53.7,62.8,50.6,66.5,0,0,0,,,,,3.4,301.6,1018.6,25.7,2.3,,,,,2003-02-21T06:58:49,2003-02-21T18:22:30,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42348099999
jaipur,2003-02-22,75.3,54.2,63.1,75.3,54.2,63.1,51.3,67.6,0,0,0,,,,,5.8,252.5,1016.6,28.9,1.8,,,,,2003-02-22T06:57:57,2003-02-22T18:23:08,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42348099999
jaipur,2003-02-23,78.5,59.1,68.3,78.5,59.1,68.3,54.8,64.4,0,0,0,,,,,6.9,76.9,1014.4,33.8,2.3,,,,,2003-02-23T06:57:03,2003-02-23T18:23:46,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42348099999
jaipur,2003-02-24,82.1,62.3,71.7,81.8,62.3,71.6,57,62,0,0,0,,,,,2.2,90,1013.8,7.5,2.3,,,,,2003-02-24T06:56:09,2003-02-24T18:24:24,0.76,Clear,Clear conditions throughout the day.,clear-day,42348099999
jaipur,2003-02-25,82.5,62.7,72.3,82.5,62.7,72.3,59.4,65.4,0,0,0,,,,,2.2,90,1012.2,5,2,,,,,2003-02-25T06:55:14,2003-02-25T18:25:01,0.79,Clear,Clear conditions throughout the day.,clear-day,42348099999
